"subject" "activity" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()"
"20" "LAYING" -0.452429326099846 -0.519017420878205 -0.452429326099846 -0.519017420878205 -0.564555998864103 -0.540847617073269 -0.435122258175641 -0.521471397919231 -0.624627827903846 -0.65307636871282 -0.505493351425641 -0.604222557220513 -0.538159936420513 -0.548497929924744 -0.547332691298077 -0.588328799467949 -0.659341951769231 -0.670451894533974
"24" "LAYING" -0.620032665162467 -0.650862147810236 -0.620032665162467 -0.650862147810236 -0.713667423769029 -0.689391189346457 -0.682447212750656 -0.742983126606299 -0.791646550787402 -0.788997850813648 -0.650121872273806 -0.705928425819685 -0.696845583388451 -0.682447145993307 -0.754131617480315 -0.782076276167979 -0.795019165380577 -0.796157264514436
"27" "LAYING" -0.535726883050671 -0.600445866154362 -0.535726883050671 -0.600445866154362 -0.626287365461409 -0.618887250102013 -0.622646577775503 -0.697498265308054 -0.778275050167785 -0.796244747537248 -0.585787631892617 -0.672092417700336 -0.609647345982886 -0.633580675552349 -0.735008737516779 -0.726661203895973 -0.796725772701342 -0.810137398130872
"28" "LAYING" -0.610030902501309 -0.635821226515969 -0.610030902501309 -0.635821226515969 -0.689429387759162 -0.687703433627487 -0.648538641430367 -0.710956808836911 -0.78929494326178 -0.805738383010471 -0.628763247405236 -0.696993999667801 -0.675428720467801 -0.706415829342932 -0.73790809206911 -0.743784612693717 -0.806882151753927 -0.818448508376963
"29" "LAYING" -0.553585593347965 -0.579067216088081 -0.553585593347965 -0.579067216088081 -0.664538060484884 -0.620472049862791 -0.602228993700349 -0.653732301592151 -0.802293906366279 -0.840156364186047 -0.589294014734302 -0.639314176054942 -0.609879937469099 -0.636434470547384 -0.722018434984302 -0.671454324368401 -0.840464164156977 -0.851462426569767
"30" "LAYING" -0.538131194183003 -0.588158111633681 -0.538131194183003 -0.588158111633681 -0.697050126998956 -0.658972148093473 -0.510032754098198 -0.573779428671018 -0.785870931331593 -0.810398514673629 -0.600372067046214 -0.646522810920757 -0.656339723754047 -0.664600262443812 -0.669600510563003 -0.589192650089817 -0.811292332428198 -0.822805618746736
"12" "SITTING" -0.485419876919403 -0.509050737147015 -0.485419876919403 -0.509050737147015 -0.553813266144776 -0.468462139639552 -0.585957269414925 -0.641774640228657 -0.735015701865672 -0.742760839925373 -0.47792395599403 -0.605529765076119 -0.461153229439552 -0.480918839647015 -0.669095112974627 -0.687480054074627 -0.749207546626866 -0.753265165522388
"13" "SITTING" -0.539871637249541 -0.597230982062691 -0.539871637249541 -0.597230982062691 -0.625466938809174 -0.610248540269939 -0.581215403184709 -0.636364939544342 -0.712745036012232 -0.712056186747706 -0.589928108599083 -0.665344858593272 -0.607295296423853 -0.617075473106453 -0.652225306544343 -0.691915161336391 -0.712054366504281 -0.733183567759939
"17" "SITTING" -0.506906000020438 -0.585287408546562 -0.506906000020438 -0.585287408546562 -0.652073857695312 -0.649316139213437 -0.630693906651719 -0.71559290114375 -0.78281769309375 -0.80013424171875 -0.595908048050938 -0.644502428118125 -0.653531400748438 -0.647886818483125 -0.73703546740625 -0.7525235544375 -0.8045235876875 -0.8098826564375
"18" "SITTING" -0.963685834333333 -0.964222192 -0.963685834333333 -0.964222192 -0.984336614 -0.983733639666667 -0.951887812 -0.947942481333333 -0.986611885 -0.986354497333333 -0.97137329 -0.965101664666667 -0.982538887333333 -0.984285595333333 -0.964628023666667 -0.946838238333333 -0.987332531 -0.985681788333333
"19" "SITTING" -0.531507362111361 -0.599552767486306 -0.531507362111361 -0.599552767486306 -0.5762252472125 -0.601918552871944 -0.548919668132222 -0.610093380740278 -0.683436541824444 -0.7255986988425 -0.556404444967972 -0.689860920113889 -0.576064647812278 -0.641089005857778 -0.636287999799167 -0.662325968145833 -0.719519008752778 -0.754223739441667
"21" "SITTING" -0.620309259553676 -0.6601960145 -0.620309259553676 -0.6601960145 -0.703461275879657 -0.680069218953922 -0.693779224517157 -0.761303119652451 -0.807817403137255 -0.82408989995098 -0.658664719514706 -0.714345739215931 -0.679742584809363 -0.683725127418382 -0.776473060171569 -0.793158526279412 -0.826275026053922 -0.834949863259804
"22" "SITTING" -0.597799544011717 -0.674728311182828 -0.597799544011717 -0.674728311182828 -0.687293447142929 -0.671919866238182 -0.704296113121212 -0.732423163577273 -0.838758636363636 -0.862669919242424 -0.657999241032323 -0.736639079823232 -0.667449371934343 -0.680648314314646 -0.781388848888889 -0.748109782232323 -0.865397185555556 -0.870345470454545
